Check ID,Created (UTC),Name,Hostname,Tags,Type,Verify Certificate,Status,Last Check Time (UTC)
12031151,2022-12-19 16:49:15,optiq-apac-prep01-journal-service,optiq-apac-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:09
12031152,2022-12-19 16:49:15,optiq-apac-prep01-provisioning-service,optiq-apac-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:51
12031153,2022-12-19 16:49:15,optiq-apac-prep01-doc-service,optiq-apac-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:25
12031156,2022-12-19 16:49:16,optiq-apac-prep01-extract-service,optiq-apac-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:54
12031157,2022-12-19 16:49:16,optiq-apac-prep01-ingest-service,optiq-apac-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:00
12031159,2022-12-19 16:49:36,optiq-apac-prod01-provisioning-service,optiq-apac-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:11
12031162,2022-12-19 16:49:37,optiq-apac-prod01-extract-service,optiq-apac-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:20
12031163,2022-12-19 16:49:37,optiq-apac-prod01-doc-service,optiq-apac-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:10
12031164,2022-12-19 16:49:37,optiq-apac-prod01-ingest-service,optiq-apac-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:29
12031165,2022-12-19 16:49:37,optiq-apac-prod01-journal-service,optiq-apac-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:15
12031169,2022-12-19 16:50:43,optiq-usea-prep01-ingest-service,optiq-usea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:04
12031171,2022-12-19 16:50:43,optiq-usea-prep01-provisioning-service,optiq-usea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:03
12031172,2022-12-19 16:50:44,optiq-usea-prep01-doc-service,optiq-usea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:17
12031173,2022-12-19 16:50:44,optiq-usea-prep01-journal-service,optiq-usea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:19
12031178,2022-12-19 16:50:45,optiq-usea-prep01-extract-service,optiq-usea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:27
12031174,2022-12-19 16:50:44,optiq-usea-prod01-ingest-service,optiq-usea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:24
12031175,2022-12-19 16:50:44,optiq-usea-prod01-doc-service,optiq-usea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:58
12031176,2022-12-19 16:50:45,optiq-usea-prod01-provisioning-service,optiq-usea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:20
12031177,2022-12-19 16:50:45,optiq-usea-prod01-extract-service,optiq-usea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:02
12031179,2022-12-19 16:50:45,optiq-usea-prod01-journal-service,optiq-usea-prod01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:41
12031189,2022-12-19 16:53:33,optiq-emea-prep01-doc-service,optiq-emea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:18
12031190,2022-12-19 16:53:33,optiq-emea-prep01-provisioning-service,optiq-emea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:15
12031191,2022-12-19 16:53:33,optiq-emea-prep01-extract-service,optiq-emea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:37
12031193,2022-12-19 16:53:34,optiq-emea-prep01-journal-service,optiq-emea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:13
12031194,2022-12-19 16:53:34,optiq-emea-prep01-ingest-service,optiq-emea-prep01.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:10
12041530,2022-12-29 04:29:14,optiq-emea-test-doc-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2022-12-29 06:56:53
12041834,2022-12-29 09:39:07,optiq-emea-test-doc-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2023-01-03 22:06:11
12041835,2022-12-29 09:39:07,optiq-emea-test-extract-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2023-01-03 22:06:01
12041838,2022-12-29 09:39:08,optiq-emea-test-journal-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2023-01-03 22:06:04
12041839,2022-12-29 09:39:08,optiq-emea-test-ingest-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2023-01-03 22:06:22
12041840,2022-12-29 09:39:08,optiq-emea-test-provisioning-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2023-01-03 22:06:13
12041531,2022-12-29 04:29:14,optiq-emea-test-journal-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2022-12-29 06:56:11
12041533,2022-12-29 04:29:14,optiq-emea-test-ingest-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2022-12-29 06:56:39
12041534,2022-12-29 04:29:14,optiq-emea-test-extract-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2022-12-29 06:56:40
12041535,2022-12-29 04:29:15,optiq-gateway-healthcheck,prod.cg.optimizely.com,"[""production"",""optiq"",""gateway""]",http,1.0,up,2025-05-05 08:33:38
12041536,2022-12-29 04:29:15,optiq-emea-test-provisioning-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2022-12-29 06:56:12
12041724,2022-12-29 07:58:33,optiq-gateway-healthcheck,prod.cg.optimizely.com,"[""production"",""optiq"",""gateway""]",http,1.0,up,2025-05-05 08:34:23
12041725,2022-12-29 07:58:33,optiq-emea-test-doc-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2022-12-29 23:58:57
12041726,2022-12-29 07:58:33,optiq-emea-test-ingest-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2022-12-29 23:58:15
12041727,2022-12-29 07:58:33,optiq-emea-test-journal-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2022-12-29 23:58:29
12041728,2022-12-29 07:58:33,optiq-emea-test-extract-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2022-12-29 23:58:44
12041729,2022-12-29 07:58:33,optiq-emea-test-provisioning-service,optiq-emea-test.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,paused,2022-12-29 23:58:54
12041836,2022-12-29 09:39:07,optiq-gateway-healthcheck,prod.cg.optimizely.com,"[""production"",""optiq"",""gateway""]",http,1.0,up,2025-05-05 08:33:43
12058758,2023-01-10 04:42:57,www.valvoline.com || vall04mstrk6fa1prod,www.valvoline.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_vall"",""vall04mstrk6fa1prod"",""cluster_vall04mstrk6fa1prod""]",http,1.0,paused,2025-02-28 05:00:45
12059262,2023-01-10 07:54:33,optiq-emea-qa-extract-service,optiq-emea-qa.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:34:10
12059263,2023-01-10 07:54:33,optiq-emea-qa-ingest-service,optiq-emea-qa.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:52
12059265,2023-01-10 07:54:33,optiq-emea-qa-journal-service,optiq-emea-qa.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:53
12059266,2023-01-10 07:54:34,optiq-emea-qa-doc-service,optiq-emea-qa.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:55
12059268,2023-01-10 07:54:34,optiq-emea-qa-provisioning-service,optiq-emea-qa.cg.optimizely.com,"[""emea"",""production"",""optiq""]",http,1.0,up,2025-05-05 08:33:40
12061777,2023-01-11 07:03:42,www.medical-online-hub.com || sigv03aap5yr8vprod,www.medical-online-hub.com,"[""dxc"",""service_dxc"",""env_production"",""role_availabilitymonitoring"",""customer_sigv"",""sigv03aap5yr8vprod"",""cluster_sigv03aap5yr8vprod""]",http,1.0,up,2025-05-05 08:34:12
